Nama Pemohon/Institusi,Emel,No. K/P (baru)/Polis/Tentera/No. Pasport,No. Telefon Bimbit,Declared Income,Savings,Investment (Stocks/Bonds),Gold (grams),Property (number),Profession,Location,Donation Frequency,Average Donation Amount,Fraud Label (Rule-Based)
Razak bin Razak,razak.razak52@outlook.my,601129-46-3015,013-0074364,0.0,57648.43,0,0,0,Unemployed,Damansara Heights,5,926.39,Not Fraud
Azizah binti Syazwan,azizah.syazwan77@yahoo.com,520123-10-1550,011-82120343,7174,27400.54,34603.08,0,0,Sales Manager,Bangsar,6,2451.09,Not Fraud
Lim binti Jia Yi,lim.jia.yi21@outlook.my,041024-25-7072,016-04112744,7198,44057.36,0,384,0,Sales Manager,Bangsar,8,2759.57,Not Fraud
Sharifah binti binti Abdullah,sharifah..abdullah24@gmail.com,030321-57-3986,016-90295310,13259.86,67724.85,27874.7,0,0,Sales Manager,Cheras,3,551.97,Not Fraud
Aishah binti Singh,aishah.singh60@gmail.com,850121-30-6632,016-8501892,8751.88,46009.1,127132.48,0,4,Engineer,Cheras,1,3715.27,Fraud
Fatimah binti bin Abdullah,fatimah..abdullah61@msn.com,690519-23-4738,011-90592824,5031.46,68233.07,199307.93,0,0,Retired,Cheras,12,2033.21,Not Fraud
Abdullah bin Ali,abdullah.ali54@msn.com,960718-31-5599,010-47963584,6039.66,42849.3,0,0,0,IT Specialist,Cheras,8,343.64,Not Fraud
Hafiz bin Singh,hafiz.singh37@gmail.com,820402-41-2449,012-2791737,0.0,29149.48,0,0,0,Unemployed,Damansara Heights,1,3512.72,Not Fraud
Fatimah binti Razak,fatimah.razak48@gmail.com,530531-44-7254,017-7862768,6837.22,97295.85,113763.11,0,0,Farmer,Cheras,12,1007.14,Not Fraud
Noraini binti Muhammad,noraini.muhammad38@outlook.my,620212-16-4536,016-77369886,5360.77,98963.26,127651.42,215,0,Retired,Damansara Heights,6,173.8,Not Fraud
Ng bin Zi Xuan,ng.zi.xuan65@outlook.my,620326-12-3139,017-9385700,0.0,24180.42,0,0,2,Unemployed,Kuala Lumpur City Centre,7,3578.41,Fraud
Hafiz bin Hafiz,hafiz.hafiz31@gmail.com,770908-21-2475,014-83702315,13777,0,0,0,0,Sales Manager,Bangsar,5,4056.45,Not Fraud
Ismail bin Muhammad,ismail.muhammad76@yahoo.com,881015-14-5901,017-43333565,11297.85,0,130166.07,10,5,IT Specialist,Mont Kiara,12,4655.31,Not Fraud
Abdullah bin Abdullah,abdullah.abdullah40@outlook.my,600420-09-9123,017-56575869,11848.01,35644.79,0,0,5,Doctor,Mont Kiara,12,1446.64,Fraud
Lee bin Jia Hao,lee.jia.hao94@outlook.my,531205-03-8029,011-81424812,0,98334.94,0,282,0,Unemployed,Subang Jaya,8,1260.07,Fraud
Ahmad bin Muhammad,ahmad.muhammad78@outlook.my,780820-34-2615,019-6052795,2565,83057.75,151215.12,0,5,Farmer,Petaling Jaya,11,4183.18,Fraud
Lim bin Zi Xuan,lim.zi.xuan98@yahoo.com,690808-31-1495,012-8910656,15339.83,68347.45,26010.62,355,0,Engineer,Cheras,7,4251.15,Not Fraud
Zainab binti Khan,zainab.khan92@yahoo.com,000312-28-6810,017-2967270,12836,22307.22,95863.9,0,0,Accountant,Bangsar,12,2997.79,Not Fraud
Tan bin Wei Kang,tan.wei.kang38@yahoo.com,910803-57-3089,018-5765921,3859.61,80319.06,29330.19,293,0,Farmer,Cheras,10,428.46,Fraud
Amirul bin bin Abdullah,amirul..abdullah28@gmail.com,820322-06-5253,010-10857327,20554,0,0,173,0,Engineer,Subang Jaya,9,1233.12,Not Fraud
Lee bin Wei Kang,lee.wei.kang85@yahoo.com,850112-57-9059,010-34015626,14167,35651.68,0,321,0,Teacher,Petaling Jaya,4,2779.32,Not Fraud
Siti binti Khan,siti.khan81@hotmail.com,500523-41-2142,011-7156215,4009.65,71030.33,0,276,0,Retired,Mont Kiara,4,1782.09,Not Fraud
Razak bin binti Abdullah,razak..abdullah52@hotmail.com,070301-10-3579,016-9209176,16903.23,10639.48,160331.67,200,0,Engineer,Cheras,10,3900.76,Not Fraud
Ong binti Hui Xin,ong.hui.xin58@outlook.my,660925-57-3054,014-1548567,12571.46,76779.05,24025.88,154,0,Engineer,Cheras,1,1169.94,Not Fraud
Sharifah binti Muhammad,sharifah.muhammad49@msn.com,641008-21-8084,013-38321746,6125.99,0,151549.79,52,0,Farmer,Mont Kiara,10,4104.84,Not Fraud
Zainab binti Abdullah,zainab.abdullah10@gmail.com,640402-01-8850,018-2904448,7207.89,9062.65,143811.51,417,0,Teacher,Mont Kiara,10,3740.1,Fraud
Sharifah binti Abdullah,sharifah.abdullah30@outlook.my,060718-51-3620,011-2040408,8304,91034.86,0,0,0,Accountant,Subang Jaya,3,898.42,Not Fraud
Ali bin Syazwan,ali.syazwan45@msn.com,740704-07-1633,011-4235792,11154,10200.18,0,305,0,Accountant,Subang Jaya,9,2411.39,Not Fraud
Aishah binti Hafiz,aishah.hafiz83@gmail.com,880504-43-7714,014-24259488,12886.97,15640.08,60188.07,0,0,Business Owner,Kuala Lumpur City Centre,3,1392.38,Not Fraud
Syazwan bin Ismail,syazwan.ismail54@outlook.my,850517-41-8683,010-8919458,7806,0,30239.28,0,0,Sales Manager,Petaling Jaya,7,2519.31,Not Fraud
Ismail bin Khairul,ismail.khairul10@hotmail.com,830804-04-5065,017-1493041,9390.63,0,165009.78,153,0,IT Specialist,Cheras,11,1850.95,Not Fraud
Zainab binti binti Abdullah,zainab..abdullah66@msn.com,970522-10-3872,019-89783734,23496.69,0,0,0,0,Business Owner,Kuala Lumpur City Centre,6,2935.34,Not Fraud
Aminah binti bin Abdullah,aminah..abdullah1@outlook.my,510130-16-6656,010-65540788,4679.23,85512.52,0,0,0,Retired,Damansara Heights,6,3195.29,Not Fraud
Azizah binti Ahmad,azizah.ahmad68@hotmail.com,030927-55-6108,013-8876331,27236,69176.16,58654.49,0,2,Engineer,Subang Jaya,5,527.71,Not Fraud
Nur binti Amirul,nur.amirul51@gmail.com,831120-36-8790,016-67751287,7283,0,192114.98,305,0,IT Specialist,Subang Jaya,7,4087.5,Not Fraud
Razak bin Muhammad,razak.muhammad98@yahoo.com,780815-29-7037,010-5436392,7335,34644.38,0,0,3,Sales Manager,Bangsar,4,1366.84,Not Fraud
Nur binti Ahmad,nur.ahmad87@yahoo.com,720310-42-4052,016-88624993,11822.4,86280.03,87920.23,0,0,Sales Manager,Kuala Lumpur City Centre,2,3931.62,Not Fraud
Ahmad bin Razak,ahmad.razak83@msn.com,901219-06-1987,014-1147606,10095,70775.74,69043.03,0,0,Sales Manager,Petaling Jaya,1,199.22,Not Fraud
Ng binti Jia Yi,ng.jia.yi88@yahoo.com,580312-44-2068,013-46822340,8064.19,0,77045.61,95,0,Teacher,Cheras,1,1669.16,Not Fraud
Hafiz bin Hafiz,hafiz.hafiz48@gmail.com,500711-55-6175,012-9204049,18536.0,60257.34,0,0,0,Doctor,Damansara Heights,7,1877.89,Not Fraud
Sharifah binti bin Abdullah,sharifah..abdullah47@hotmail.com,801101-58-3366,011-5111141,13314,0,127002.69,0,0,Sales Manager,Bangsar,7,291.7,Not Fraud
Aishah binti Razak,aishah.razak81@outlook.my,581029-52-8070,014-4479931,12464.73,25110.98,0,0,0,IT Specialist,Kuala Lumpur City Centre,1,1444.88,Not Fraud
Ali bin Ali,ali.ali51@gmail.com,871119-51-7593,017-94099743,33460.82,52169.43,0,0,0,Engineer,Kuala Lumpur City Centre,11,556.59,Not Fraud
Zainab binti Ali,zainab.ali3@msn.com,721215-09-4238,017-4127195,2670.78,33598.68,17888.51,148,5,Retired,Damansara Heights,8,1413.59,Fraud
Lee binti Shi Hui,lee.shi.hui38@msn.com,980428-26-2206,014-73636553,9295,11569.58,38544.97,40,1,Teacher,Subang Jaya,12,4051.09,Not Fraud
Farah binti Ahmad,farah.ahmad8@msn.com,610421-26-4472,010-9477281,8646.49,0,0,0,2,Sales Manager,Kuala Lumpur City Centre,9,2284.31,Not Fraud
Siti binti Amirul,siti.amirul32@yahoo.com,670320-44-7868,013-26244633,18985.01,0,115267.51,0,0,Accountant,Mont Kiara,7,2732.64,Not Fraud
Lim binti Yee Von,lim.yee.von54@gmail.com,930711-22-5096,018-40741938,22347,55976.47,0,0,0,Doctor,Subang Jaya,9,269.7,Not Fraud
Ramesh bin Suresh,ramesh.suresh55@outlook.my,981013-28-3731,010-0134421,19877.98,72549.92,0,0,0,Doctor,Kuala Lumpur City Centre,6,4859.98,Not Fraud
Sharifah binti binti Abdullah,sharifah..abdullah35@yahoo.com,650316-42-3292,010-49173273,5432,22593.02,2329.59,0,5,Farmer,Bangsar,4,3617.01,Not Fraud
Tan bin Zi Xuan,tan.zi.xuan74@gmail.com,030819-42-4751,014-9213937,10810.91,43857.78,38555.83,0,0,Sales Manager,Mont Kiara,9,1210.33,Not Fraud
Lim binti Xin Yi,lim.xin.yi51@yahoo.com,840426-58-2892,013-7390122,26208,49297.3,17181.29,0,0,Business Owner,Bangsar,10,4365.68,Not Fraud
Lim bin Ah Meng,lim.ah.meng91@gmail.com,750301-58-6809,019-57813288,5714,24565.63,84915.88,0,4,Retired,Petaling Jaya,3,4225.04,Not Fraud
Chua bin Kok Leong,chua.kok.leong36@outlook.my,900708-52-1337,011-2973767,0.0,6908.43,192054.59,305,0,Unemployed,Kuala Lumpur City Centre,10,956.66,Fraud
Ng bin Wei Kang,ng.wei.kang89@yahoo.com,540916-33-2569,012-17702774,12933.92,14854.49,33448.11,314,0,Accountant,Cheras,7,3630.12,Not Fraud
Siti binti Ali,siti.ali14@outlook.my,790327-43-4762,012-5718437,7954,12823.36,162587.95,0,4,Sales Manager,Bangsar,11,3532.93,Not Fraud
Lee bin Wei Jie,lee.wei.jie14@yahoo.com,880630-08-1785,018-2579134,11751,0,0,0,0,Sales Manager,Subang Jaya,2,4123.2,Not Fraud
Tan bin Zi Xuan,tan.zi.xuan15@gmail.com,721013-09-3503,010-75135794,22201.15,86731.35,174716.57,0,0,Engineer,Mont Kiara,3,2145.44,Not Fraud
Azizah binti Ismail,azizah.ismail43@gmail.com,631107-13-4400,010-87821537,4064.09,74569.01,0,100,0,Farmer,Mont Kiara,2,1748.3,Not Fraud
Yap binti Mei Ling,yap.mei.ling52@gmail.com,550409-04-3430,014-1249501,0.0,26243.88,0,0,4,Unemployed,Damansara Heights,1,3150.18,Not Fraud
Zainab binti bin Abdullah,zainab..abdullah98@msn.com,780209-38-5078,014-03836377,7395.38,11979.15,116676.94,64,0,Farmer,Damansara Heights,4,3063.08,Not Fraud
Saras binti Ganesh,saras.ganesh16@gmail.com,530204-13-1258,014-28798205,0.0,48648.06,119028.51,188,0,Unemployed,Cheras,5,197.8,Fraud
Abdullah bin Ali,abdullah.ali47@yahoo.com,830828-49-2817,017-9333440,0,0,196755.89,223,5,Unemployed,Petaling Jaya,3,4853.55,Fraud
Azizah binti Ali,azizah.ali48@yahoo.com,760106-21-1878,011-75397578,15252.05,74207.7,0,0,1,IT Specialist,Damansara Heights,4,2015.67,Not Fraud
Chua binti Jia Yi,chua.jia.yi35@hotmail.com,630516-45-9464,014-13880475,15529.2,10091.94,75932.35,0,0,Accountant,Kuala Lumpur City Centre,5,4433.82,Not Fraud
Aminah binti bin Abdullah,aminah..abdullah45@yahoo.com,520225-57-6488,012-1966535,0.0,71347.67,73763.24,0,0,Unemployed,Cheras,3,3406.3,Fraud
Azizah binti Khan,azizah.khan20@yahoo.com,050522-10-3160,016-9793632,20551.06,18025.68,143471.4,0,0,Doctor,Kuala Lumpur City Centre,10,4255.75,Not Fraud
Farah binti Syazwan,farah.syazwan94@outlook.my,551020-02-8502,012-90156817,10788,1830.91,74793.85,26,0,Doctor,Petaling Jaya,1,3667.99,Not Fraud
Lee binti Pei Shan,lee.pei.shan50@outlook.my,850428-34-2788,013-9525171,28532.43,45580.92,13040.48,0,4,Engineer,Mont Kiara,12,1869.41,Not Fraud
Farah binti Muhammad,farah.muhammad62@msn.com,021222-06-5034,011-5126701,24158.28,10680.27,0,0,5,Doctor,Kuala Lumpur City Centre,1,2220.7,Not Fraud
Muhammad bin Muhammad,muhammad.muhammad94@msn.com,820117-50-3417,013-21496149,13514.44,80454.75,42082.84,441,0,Doctor,Kuala Lumpur City Centre,2,3725.76,Not Fraud
Fatimah binti Ahmad,fatimah.ahmad75@outlook.my,820220-36-2474,012-96586019,0.0,71589.61,125473.39,372,0,Unemployed,Kuala Lumpur City Centre,2,4903.89,Fraud
Ismail bin Ahmad,ismail.ahmad86@msn.com,910111-30-2489,018-80091500,12772,94407.08,0,0,0,Sales Manager,Petaling Jaya,6,2222.61,Not Fraud
Chua binti Jia Yi,chua.jia.yi20@msn.com,711004-38-2964,011-2257501,0,47933.25,0,0,0,Unemployed,Subang Jaya,7,1067.66,Fraud
Ng bin Wei Jie,ng.wei.jie83@hotmail.com,890927-24-6153,014-97749888,16102.49,0,0,0,0,Accountant,Mont Kiara,12,3032.67,Not Fraud
Malar binti Muthu,malar.muthu85@msn.com,670615-50-4666,017-6835589,14088.6,0,122751.74,453,0,Sales Manager,Cheras,4,114.13,Not Fraud
Muhammad bin bin Abdullah,muhammad..abdullah79@outlook.my,570429-37-2263,018-40548087,17615.95,0,79265.72,0,3,Engineer,Damansara Heights,5,4558.91,Not Fraud
Suresh bin Suresh,suresh.suresh46@yahoo.com,560223-50-7785,010-22468594,7610,87023.04,0,267,4,Farmer,Subang Jaya,7,2178.0,Not Fraud
Teoh bin Kok Leong,teoh.kok.leong11@gmail.com,610419-50-8595,018-5841883,8382,71568.83,0,0,0,Accountant,Subang Jaya,6,2290.37,Not Fraud
Goh binti Hui Xin,goh.hui.xin77@hotmail.com,650624-47-2404,014-26147832,9345.25,44828.64,65521.74,0,0,Business Owner,Cheras,6,1934.81,Not Fraud
Ismail bin binti Abdullah,ismail..abdullah40@gmail.com,791030-16-2375,016-9493278,13742.35,0,126186.58,0,3,Sales Manager,Damansara Heights,3,4658.51,Not Fraud
Amirul bin Abdullah,amirul.abdullah87@yahoo.com,991229-40-9109,012-6758672,21695.22,33361.21,107958.53,49,3,Engineer,Cheras,1,3767.44,Not Fraud
Hafiz bin Razak,hafiz.razak78@gmail.com,560425-49-6527,018-91521037,15192,43454.52,98469.42,409,0,Business Owner,Subang Jaya,10,1822.27,Not Fraud
Razak bin Ali,razak.ali37@yahoo.com,600427-54-4319,019-8900224,10096,0,0,170,1,IT Specialist,Petaling Jaya,10,1621.01,Not Fraud
Amirul bin Hafiz,amirul.hafiz47@hotmail.com,690724-52-7759,016-33235270,8045,70017.01,193015.92,138,0,Accountant,Petaling Jaya,8,639.6,Not Fraud
Fatimah binti Ahmad,fatimah.ahmad80@msn.com,870204-08-9422,014-33263252,12998,0,10719.97,149,0,Business Owner,Petaling Jaya,12,1516.19,Not Fraud
Yap bin Kok Leong,yap.kok.leong34@gmail.com,040726-46-8421,012-4232756,0.0,0,0,287,0,Unemployed,Cheras,7,869.38,Fraud
Syazwan bin Razak,syazwan.razak91@gmail.com,731110-13-4955,017-5348884,6008,54186.89,96507.67,125,0,Teacher,Subang Jaya,1,3309.12,Not Fraud
Farah binti Muhammad,farah.muhammad86@msn.com,021113-34-5602,010-7044242,14076.83,61635.64,0,0,0,Engineer,Damansara Heights,10,537.75,Not Fraud
Azizah binti Ahmad,azizah.ahmad4@gmail.com,730219-12-9574,016-8389712,34315.07,0,164956.41,0,0,Business Owner,Mont Kiara,2,3165.78,Not Fraud
Nur binti Khan,nur.khan38@yahoo.com,060426-08-5458,016-5086498,9524.92,93789.54,128054.07,0,4,Accountant,Cheras,10,4073.81,Not Fraud
Zainab binti Ali,zainab.ali89@outlook.my,791016-33-1148,014-82871895,30378.82,99584.12,198014.98,484,0,Engineer,Mont Kiara,8,429.09,Not Fraud
Ong binti Pei Shan,ong.pei.shan90@yahoo.com,670910-45-2628,018-69409471,14586.07,0,141961.35,453,0,IT Specialist,Damansara Heights,7,1008.31,Not Fraud
Zainab binti binti Abdullah,zainab..abdullah10@hotmail.com,660806-33-3788,016-9790295,5596.67,38898.58,0,380,4,Accountant,Cheras,11,3052.72,Fraud
Farah binti Ali,farah.ali39@hotmail.com,701129-42-5262,011-79242451,9097.72,20966.54,0,301,0,Accountant,Kuala Lumpur City Centre,3,4671.14,Not Fraud
Farah binti Syazwan,farah.syazwan61@msn.com,911109-16-5054,010-93082164,35252.87,23648.61,189828.02,175,5,Doctor,Mont Kiara,7,3127.25,Not Fraud
Azizah binti Amirul,azizah.amirul86@yahoo.com,900215-35-2772,013-66121753,6472,40556.66,0,96,0,Accountant,Petaling Jaya,7,4082.15,Not Fraud
Syazwan bin Ahmad,syazwan.ahmad84@outlook.my,620622-04-6681,016-22879742,15631.09,59686.49,0,0,0,Teacher,Mont Kiara,9,4936.2,Not Fraud
Lim bin Wei Kang,lim.wei.kang8@gmail.com,620128-25-2563,010-3440434,10148,40489.16,0,0,0,Teacher,Bangsar,12,3388.34,Not Fraud
Nur binti Razak,nur.razak70@msn.com,551128-06-8760,011-8417857,28107.81,0,17213.14,0,0,Engineer,Mont Kiara,12,3572.55,Not Fraud
